model,repeat,arm,tp,fp,fn,evaluated,nonempty_reference,reference_pair_count,recall,precision,f1
openai/gpt-5.4,3,additive_pos,277,136,68,362,250,345,0.8028985507246377,0.6707021791767555,0.7308707124010554
openai/gpt-5.4,4,baseline,280,129,66,362,252,346,0.8092485549132948,0.684596577017115,0.7417218543046358
openai/gpt-5.4,4,additive_verbs,280,157,66,362,252,346,0.8092485549132948,0.6407322654462243,0.7151979565772669
openai/gpt-5.4,4,all_verbs,266,143,80,362,252,346,0.7687861271676301,0.6503667481662592,0.704635761589404
openai/gpt-5.4,4,context_pos,270,139,76,362,252,346,0.7803468208092486,0.6601466992665037,0.7152317880794702
openai/gpt-5.4,4,additive_pos,280,146,66,362,252,346,0.8092485549132948,0.6572769953051644,0.7253886010362695
openai/gpt-5.4,5,baseline,279,128,66,362,248,345,0.808695652173913,0.6855036855036855,0.7420212765957447
openai/gpt-5.4,5,additive_verbs,279,160,66,362,248,345,0.808695652173913,0.6355353075170843,0.7117346938775511
openai/gpt-5.4,5,all_verbs,262,145,83,362,248,345,0.7594202898550725,0.6437346437346437,0.6968085106382979
openai/gpt-5.4,5,context_pos,267,140,78,362,248,345,0.7739130434782608,0.6560196560196561,0.7101063829787234
openai/gpt-5.4,5,additive_pos,279,145,66,362,248,345,0.808695652173913,0.6580188679245284,0.7256176853055917
openai/gpt-5.4-mini,1,baseline,242,242,102,362,249,344,0.7034883720930233,0.5,0.5845410628019324
openai/gpt-5.4-mini,1,additive_verbs,263,343,81,362,249,344,0.7645348837209303,0.43399339933993397,0.5536842105263158
openai/gpt-5.4-mini,1,all_verbs,243,241,101,362,249,344,0.7063953488372093,0.5020661157024794,0.5869565217391305
openai/gpt-5.4-mini,1,context_pos,259,225,85,362,249,344,0.752906976744186,0.5351239669421488,0.6256038647342995
openai/gpt-5.4-mini,1,additive_pos,271,326,73,362,249,344,0.7877906976744186,0.4539363484087102,0.5759829968119022
openai/gpt-5.4-mini,2,baseline,255,236,96,362,255,351,0.7264957264957265,0.5193482688391039,0.6057007125890737
openai/gpt-5.4-mini,2,additive_verbs,276,339,75,362,255,351,0.7863247863247863,0.44878048780487806,0.5714285714285714
openai/gpt-5.4-mini,2,all_verbs,258,233,93,362,255,351,0.7350427350427351,0.5254582484725051,0.6128266033254157
openai/gpt-5.4-mini,2,context_pos,272,219,79,362,255,351,0.7749287749287749,0.5539714867617108,0.6460807600950119
openai/gpt-5.4-mini,2,additive_pos,282,321,69,362,255,351,0.8034188034188035,0.46766169154228854,0.5911949685534591
openai/gpt-5.4-mini,3,baseline,241,233,105,362,252,346,0.6965317919075145,0.5084388185654009,0.5878048780487805
openai/gpt-5.4-mini,3,additive_verbs,264,333,82,362,252,346,0.7630057803468208,0.44221105527638194,0.559915164369035
openai/gpt-5.4-mini,3,all_verbs,248,226,98,362,252,346,0.7167630057803468,0.5232067510548524,0.6048780487804878
openai/gpt-5.4-mini,3,context_pos,258,216,88,362,252,346,0.7456647398843931,0.5443037974683544,0.6292682926829268
openai/gpt-5.4-mini,3,additive_pos,269,313,77,362,252,346,0.7774566473988439,0.46219931271477666,0.5797413793103449
openai/gpt-5.4-mini,4,baseline,239,234,104,362,251,343,0.6967930029154519,0.5052854122621564,0.5857843137254902
openai/gpt-5.4-mini,4,additive_verbs,259,344,84,362,251,343,0.7551020408163265,0.4295190713101161,0.547568710359408
openai/gpt-5.4-mini,4,all_verbs,242,231,101,362,251,343,0.7055393586005831,0.5116279069767442,0.5931372549019608
openai/gpt-5.4-mini,4,context_pos,255,218,88,362,251,343,0.7434402332361516,0.5391120507399577,0.625
openai/gpt-5.4-mini,4,additive_pos,266,332,77,362,251,343,0.7755102040816326,0.44481605351170567,0.565356004250797
openai/gpt-5.4-mini,5,baseline,250,241,94,362,251,344,0.7267441860465116,0.5091649694501018,0.5988023952095808
openai/gpt-5.4-mini,5,additive_verbs,270,346,74,362,251,344,0.7848837209302325,0.4383116883116883,0.5625
openai/gpt-5.4-mini,5,all_verbs,250,241,94,362,251,344,0.7267441860465116,0.5091649694501018,0.5988023952095808
openai/gpt-5.4-mini,5,context_pos,263,228,81,362,251,344,0.7645348837209303,0.5356415478615071,0.629940119760479
openai/gpt-5.4-mini,5,additive_pos,276,331,68,362,251,344,0.8023255813953488,0.4546952224052718,0.580441640378549
openai/gpt-oss-20b,1,baseline,209,142,118,361,241,327,0.6391437308868502,0.5954415954415955,0.616519174041298
openai/gpt-oss-20b,1,additive_verbs,221,199,106,361,241,327,0.6758409785932722,0.5261904761904762,0.5917001338688086
openai/gpt-oss-20b,1,all_verbs,208,143,119,361,241,327,0.636085626911315,0.5925925925925926,0.6135693215339233
openai/gpt-oss-20b,1,context_pos,213,138,114,361,241,327,0.6513761467889908,0.6068376068376068,0.6283185840707964
openai/gpt-oss-20b,1,additive_pos,221,183,106,361,241,327,0.6758409785932722,0.5470297029702971,0.6046511627906976
